facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"062520 PUEBLO DIALYSIS (FMC)",062520,-,"41 MONTEBELLO RD STE 102",PUEBLO,CO,81001,15,16.85%,55.98%,2,95.49%,1.23%,0.16,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.85,0.179,8,0.794,10,5,67,0.00%
"062522 CANON CITY DIALYSIS (FMC)",062522,-,"2245 FREMONT DR","CANON CITY",CO,81212,15,20.42%,58.07%,2,98.81%,0.95%,0.503,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.814,0.626,10,0.666,10,8,73,0.00%
"062523 LOVELAND DIALYSIS (FMC)",062523,-,"2940 GINNALA DR",LOVELAND,CO,80538,15,4.78%,74.76%,10,99.83%,0.00%,0.298,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.332,0.47,9,0.716,10,9,93,0.00%
"062525 LA JUNTA DIALYSIS (FMC)",062525,-,"1012 HAYES AVE","La Junta",CO,81050,15,11.50%,64.22%,6,98.21%,0.00%,0.736,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.712,0,9,0.713,10,7,80,0.00%
"062526 WALSENBURG DIALYSIS (FMC)",062526,-,"23450 HIGHWAY 160",WALSENBURG,CO,81089,15,20.22%,57.37%,2,97.62%,0.39%,2.161,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.675,0.304,10,0.636,10,5,68,0.00%
"062527 NORTHEAST DENVER DIALYSIS (FKC)",062527,-,"590 LAREDO ST",Aurora,CO,80017,15,19.52%,64.84%,3,95.67%,0.00%,0.383,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.669,"No Rate",8,0.791,10,8,71,0.00%
"062530 MONTROSE DIALYSIS (DCI)",062530,-,"846 SOUTH 5TH STREET",MONTROSE,CO,81401,15,2.45%,81.24%,10,99.15%,0.85%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.582,0.927,10,0.442,10,9,92,0.00%
"062536 LAMAR DIALYSIS (FMC)",062536,-,"108 WEST LEE AVE",LAMAR,CO,81052,15,14.63%,69.38%,5,100.00%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.687,0.506,10,0.517,10,9,89,0.00%
"062537 PUEBLO SOUTH DIALYSIS (FMC)",062537,-,"3426 LAKE AVENUE STE 110",PUEBLO,CO,81004,15,14.12%,74.68%,7,97.34%,0.48%,0.582,10,71.77%,66.21%,79.68%,67.34%,68.31%,71.25%,6,0.878,0.785,8,0.742,10,1,65,0.00%
"062538 GRAND JUNCTION DIALYSIS (DCI)",062538,-,"2748 CROSSROADS BLVD","GRAND JUNCTION",CO,81506,15,14.22%,63.91%,5,96.36%,2.71%,1.354,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.866,0.173,9,0.727,10,9,66,0.00%
"062545 AURORA DIALYSIS (FMC)",062545,-,"962 POTOMAC CIR",AURORA,CO,80011,15,10.16%,64.73%,6,97.85%,0.26%,2.146,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.799,0.369,8,0.756,10,2,65,0.00%
"062548 STAPLETON DIALYSIS (FMC)",062548,-,"7606 E 36TH AVE",DENVER,CO,80238,15,8.12%,72.36%,8,98.44%,0.00%,0.231,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.951,0.356,9,0.727,10,5,79,0.00%
"062554 KIDNEY CENTER OF ARVADA (ARA)",062554,-,"5265 VANCE ST",ARVADA,CO,80002,15,6.85%,84.81%,10,96.21%,0.09%,1.058,10,76.89%,74.16%,86.59%,74.07%,85.22%,90.66%,7,0.784,0.264,9,0.682,10,6,80,0.00%
"062555 KIDNEY CENTER OF LAFAYETTE (ARA)",062555,-,"2655 CRESCENT DR STE C",LAFAYETTE,CO,80026,15,6.36%,84.59%,10,96.25%,0.54%,0.315,10,77.54%,75.42%,90.10%,69.83%,85.26%,88.76%,10,0.464,0.29,6,0.927,10,3,81,0.00%
"062556 KIDNEY CENTER OF LAKEWOOD (ARA)",062556,-,"6166 W ALAMEDA AVE",DENVER,CO,80226,15,11.22%,79.19%,8,97.84%,0.53%,0.567,10,67.70%,59.93%,85.64%,65.19%,56.10%,73.24%,10,0.511,0.59,10,0.573,10,0,76,0.00%
"062557 KIDNEY CENTER OF LONGMONT (ARA)",062557,-,"1960 KEN PRATT BLVD STE A",LONGMONT,CO,80501,15,11.28%,82.42%,8,95.54%,0.29%,0.609,10,65.96%,55.99%,88.45%,42.02%,51.87%,66.93%,6,0.892,0,9,0.685,10,0,66,0.00%
"062558 KIDNEY CENTER OF WESTMINSTER (ARA)",062558,-,"8410 DECATUR ST STE 200",WESTMINSTER,CO,80031,15,11.47%,78.84%,8,98.18%,0.25%,0.78,10,83.02%,70.97%,84.28%,75.10%,74.25%,76.75%,8,0.768,0.266,8,0.798,10,0,77,0.00%
"062560 LIBERTY DIALYSIS - PUEBLO",062560,-,"850 EAGLERIDGE BLVD",PUEBLO,CO,81008,15,12.87%,67.99%,6,95.72%,1.22%,0.707,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.531,0.247,9,0.671,10,3,74,0.00%
"062563 LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC)",062563,-,"2180 HOLLOWBROOK DR","COLORADO SPRINGS",CO,80918,15,10.62%,69.52%,7,98.66%,1.25%,0.452,10,63.46%,64.31%,84.94%,55.37%,66.10%,76.97%,8,0.737,0.292,10,0.575,10,2,76,0.00%
"062564 LIBERTY DIALYSIS - COLORADO SPRINGS SOUTH (FMC)",062564,-,"2508 AIRPORT RD","COLORADO SPRINGS",CO,80909,15,11.84%,66.37%,6,98.81%,0.47%,0.813,10,75.84%,66.95%,90.63%,70.98%,75.67%,76.05%,10,0.571,0.704,9,0.68,10,3,76,0.00%
"062566 LIBERTY DIALYSIS COLORADO SPRINGS CENTRAL (FMC)",062566,-,"1910 E LELARAY ST","COLORADO SPRINGS",CO,80909,15,10.07%,61.05%,5,99.07%,1.50%,0.356,10,64.56%,57.30%,81.71%,61.28%,43.44%,58.59%,6,0.903,0.589,8,0.763,10,1,61,0.00%
"062568 PUEBLO WEST DIALYSIS (FMC)",062568,-,"73 N ASPEN SKI WAY","PUEBLO WEST",CO,81007,15,8.65%,60.65%,6,99.64%,1.68%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.754,0.756,6,0.886,10,9,77,0.00%
"062570 KIDNEY CENTER OF BEAR CREEK (ARA)",062570,-,"11058 WEST JEWELL AVE",LAKEWOOD,CO,80232,15,4.88%,81.00%,10,97.49%,0.00%,0.468,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.933,0.496,7,0.812,10,7,77,0.00%
"062571 THORNTON KIDNEY CENTER LLC  (ARA)",062571,-,"8451 PEARL STREET",THORNTON,CO,80229,15,14.45%,73.69%,7,97.33%,0.69%,1.06,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.574,"No Rate",6,0.921,10,4,69,0.00%
"062573 KIDNEY CENTER ON MAIN (ARA)",062573,-,"2144 MAIN ST STE 2",LONGMONT,CO,80501,15,23.02%,70.25%,4,98.85%,1.17%,1.267,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.709,"No Rate",9,0.724,10,2,65,0.00%
"062575 PAVILION DIALYSIS (FMC)",062575,-,"723 DELAWARE ST #M105",DENVER,CO,80204,15,7.48%,70.93%,8,98.33%,0.00%,0.149,10,76.09%,60.41%,87.22%,64.68%,68.55%,74.67%,8,0.738,0.201,8,0.763,10,6,81,0.00%
"062578 -  WEST HAMPDEN DIALYSIS (FMC)",062578,-,"750 WEST HAMPDEN AVE #110",ENGLEWOOD,CO,80110,15,8.26%,75.55%,9,96.71%,0.29%,0.439,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.132,0,7,0.801,10,5,70,0.00%
"062580 NORTHERN COLORADO HOME THERAPY DIALYSIS (FMC)",062580,-,"5285 MCWHINNEY BLVD #190",LOVELAND,CO,80538,15,"No Rate","No Rate","No Score",97.17%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.579,0.5,7,0.853,10,"No Score",84,0.00%
"062581 KIDNEY CENTER OF NORTHRIDGE (ARA)",062581,-,"1865 W 121ST AVE, STE 300C",Westminster,CO,80234,15,15.98%,77.88%,7,98.64%,0.26%,1.737,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.321,"No Rate",10,0.634,10,7,78,0.00%
"062583 PARKER KIDNEY CENTER (ARA)",062583,-,"18320 E COTTONWOOD DR STE C",PARKER,CO,80138,15,9.09%,80.68%,9,94.72%,1.32%,0.876,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.471,"No Rate",9,0.678,10,7,76,0.00%
"062584 SOUTH DENVER DIALYSIS (FMC)",062584,-,"3410 S GALENA ST SUITE 100",DENVER,CO,80231,15,8.54%,73.39%,8,98.41%,0.00%,0.423,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.548,0.692,8,0.745,10,9,85,0.00%
"062585 NORTH GREELEY DIALYSIS (FMC)",062585,-,"1212 9TH ST",GREELEY,CO,80631,15,5.79%,71.36%,9,99.28%,0.73%,0.323,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.093,0.23,1,1.198,10,4,64,0.00%
"062587 KIDNEY CENTER OF WHEAT RIDGE (ARA)",062587,-,"6920 W 38TH AVE","WHEAT RIDGE",CO,80033,15,5.01%,85.82%,10,95.90%,0.00%,1.249,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.922,0.266,10,0.606,10,9,76,0.00%
"062589-KIDNEY CENTER OF THE ROCKIES",062589,-,"50 BUCK CREEK ROAD - SUITE 110",AVON,CO,81620,15,7.78%,77.63%,9,94.81%,0.00%,2.713,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate",10,3,77,0.00%
"062590-KIDNEY CENTER OF FREDERICK",062590,-,"5992 IRIS PARKWAY",LONGMONT,CO,80504,15,5.11%,90.63%,10,97.64%,0.00%,2.359,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.387,"No Rate",6,0.902,10,8,76,0.00%
"062593-Fresenius Medical Care Dialyis Services Colora",062593,-,"1526 OAKRIDGE DR","Fort Collins",CO,80525,15,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"292500 DESERT INN DIALYSIS (FMC)",292500,-,"2545 S BRUCE ST, STE 100","LAS VEGAS",NV,89169,15,12.07%,58.65%,4,98.00%,0.45%,0.334,10,57.95%,56.20%,70.19%,41.68%,60.34%,59.54%,2,1.176,0.541,3,1.094,10,0,44,1.00%
"292506 NORTHWEST LAS VEGAS DIALYSIS (FMC)",292506,-,"3150 N TENAYA WAY STE 110","LAS VEGAS",NV,89128,15,18.47%,57.30%,2,96.56%,0.67%,0.797,10,81.21%,75.70%,85.28%,72.50%,77.66%,90.01%,1,1.216,1.006,0,1.307,10,0,42,1.00%
"292508 CARSON CITY DIALYSIS (DCI)",292508,-,"778 BASQUE WAY","CARSON CITY",NV,89706,15,16.09%,75.51%,7,93.62%,3.68%,1.281,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.912,0,3,1.074,10,9,56,0.00%
"292513 SOUTH PECOS (FMC)",292513,-,"6330 S PECOS STE 110","LAS VEGAS",NV,89120,15,14.29%,61.99%,4,97.26%,0.52%,0.187,10,71.69%,68.77%,78.53%,53.36%,66.38%,69.36%,2,1.239,1.006,3,1.06,10,0,48,0.50%
"292516 ELKO DIALYSIS (DCI)",292516,-,"1995 ERRECART BLVD STE 100",ELKO,NV,89801,15,3.41%,80.79%,10,96.11%,0.21%,0.504,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.183,0.328,7,0.831,10,8,70,0.00%
"292519 LAKE MEAD NORTH (FMC)",292519,-,"1581 MOUNT MARIAH DRIVE - SUITE 100","LAS VEGAS",NV,89106,15,32.70%,42.13%,0,96.24%,0.84%,0.453,10,59.93%,63.11%,74.73%,53.35%,69.16%,71.71%,0,1.463,1.76,0,1.589,10,0,26,1.50%
"292523 RED MOON DIALYSIS",292523,-,"900 S MAIN ST","LAS VEGAS",NV,89101,15,34.10%,49.88%,0,87.34%,1.89%,0.151,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.294,1.455,0,1.799,0,0,22,2.00%
"292527 FIRE MESA DIALYSIS (FMC)",292527,-,"2450 FIRE MESA ST STE 120","LAS VEGAS",NV,89128,15,18.42%,59.98%,3,96.82%,0.55%,0.267,10,64.33%,63.35%,82.44%,55.89%,58.34%,56.52%,4,0.996,1.278,3,1.089,10,0,45,1.00%
"292529 SOUTH RAINBOW DIALYSIS (FMC)",292529,-,"7040 W SUNSET RD","LAS VEGAS",NV,89113,15,13.01%,59.88%,5,98.56%,0.52%,0.637,10,75.74%,69.79%,79.36%,59.53%,74.00%,66.41%,4,0.999,1.164,5,0.96,10,1,56,0.00%
"292532 DESERT VALLEY DIALYSIS",292532,-,"350 FALCON RIDGE PKWY STE 104 - BLDG 700",MESQUITE,NV,89027,15,32.07%,46.27%,1,97.13%,1.46%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.958,1.244,2,1.135,10,4,51,0.50%
"292533 LIBERTY DIALYSIS - RENO HOME DIALYSIS",292533,-,"601 SIERRA ROSE DR STE 201",RENO,NV,89511,15,"No Rate","No Rate","No Score",92.63%,0.80%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.78,0.842,5,0.96,10,"No Score",51,0.50%
"292535 GARDNERVILLE DIALYSIS (DCI)",292535,-,"1281 KIMMERLING RD STE A1",GARDNERVILLE,NV,89460,15,18.86%,66.32%,4,95.02%,4.37%,0.576,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.043,0.831,5,0.946,10,0,48,0.50%
"292537 LIBERTY DIALYSIS - SOUTH RENO",292537,-,"601 SIERRA ROSE DR STE 101",RENO,NV,89511,15,17.43%,67.35%,4,99.35%,1.67%,0,10,47.05%,51.09%,69.74%,35.04%,50.23%,66.64%,7,0.799,1.888,6,0.921,10,4,53,0.50%
"292540 LIBERTY DIALYSIS - CARSON CITY",292540,-,"4500 S CARSON ST","CARSON CITY",NV,89701,15,14.73%,65.35%,5,96.37%,0.69%,0.402,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.253,2.59,5,0.962,10,7,48,0.50%
"292541 LIBERTY DIALYSIS - NORTHWEST RENO",292541,-,"6144 MAE ANNE AVE",RENO,NV,89523,15,18.44%,67.04%,4,97.52%,0.41%,0.354,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.806,0.991,5,0.974,10,2,61,0.00%
"292542 CENTENNIAL DIALYSIS (FMC)",292542,-,"7465 W AZURE DR STE 1A","LAS VEGAS",NV,89130,15,16.97%,54.12%,2,98.47%,0.55%,0.17,10,56.12%,69.19%,78.35%,49.94%,77.09%,77.31%,5,0.927,0.97,2,1.125,10,0,50,0.50%
"292543 LIBERTY DIALYSIS - LAS VEGAS (FMC)",292543,-,"6970 W PATRICK LN STE 100B","LAS VEGAS",NV,89113,15,13.68%,59.02%,4,97.14%,0.63%,0.312,10,67.76%,66.41%,82.35%,75.05%,71.11%,71.10%,1,1.201,0.895,2,1.139,10,0,49,0.50%
"292544 WEST SAHARA DIALYSIS (FMC)",292544,-,"7710 WEST SAHARA AVE STE 120","LAS VEGAS",NV,89117,15,21.95%,53.58%,1,94.69%,1.57%,0.537,10,69.82%,70.39%,91.90%,49.99%,73.51%,79.55%,0,1.368,1.929,1,1.264,10,0,30,1.50%
"292545 LIBERTY DIALYSIS - SPARKS (FMC)",292545,-,"5915 S LOS ALTOS PKWY",SPARKS,NV,89436,15,7.83%,80.00%,9,96.71%,0.00%,0.714,10,58.30%,61.53%,85.97%,48.77%,66.78%,57.65%,6,0.912,0.18,8,0.752,10,1,68,0.00%
"292546 DaVita Winnemucca Dialysis",292546,-,"830 FAIRGROUNDS ROAD",WINNEMUCCA,NV,89445,15,12.17%,73.23%,7,97.71%,0.00%,0.553,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.724,1.03,7,0.839,10,5,72,0.00%
"292549 NORTHEAST LAS VEGAS (FMC)",292549,-,"321 N. NELLIS BLVD SUITE 120","LAS VEGAS",NV,89110,15,16.77%,57.66%,3,98.73%,0.11%,0,10,56.38%,61.99%,82.29%,36.63%,67.40%,72.72%,4,1.001,1.321,3,1.062,10,0,50,0.50%
"292550 SANDERLING DIALYSIS CENTER",292550,-,"701 E 15TH ST",ELY,NV,89301,15,9.49%,77.34%,9,97.07%,0.53%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",9,0.688,10,"No Score",68,0.00%
"292551 FMC-Oasis",292551,-,"1661 W HORIZON RIDGE PARKWAY - SUITE 101",HENDERSON,NV,89012,15,23.52%,56.89%,1,97.42%,0.78%,0.075,10,68.15%,72.76%,83.32%,49.27%,57.09%,64.95%,4,1.024,1.38,2,1.184,10,0,44,1.00%
"292556-American Dialysis Centers North Las Vegas LLC",292556,-,"4107 W CHEYENNE AVENUE","North Las Vegas",NV,89032,15,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"292557-Sahara Dialysis Center",292557,-,"2350 STOCKTON AVENUE","Las Vegas",NV,89104,15,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"322310 UNM PEDIATRIC DIALYSIS",322310,320001,"2211 LOMAS BLVD NE BOX 256",ALBUQUERQUE,NM,87106,15,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"322500 NEW MEXICO ARTIFICIAL KIDNEY CENTER (FMC)",322500,-,"1600 RANDOLPH SE STE 100",ALBUQUERQUE,NM,87106,15,13.06%,73.94%,7,96.18%,0.63%,0.237,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.225,2.053,6,0.917,10,5,53,0.50%
"322501 SANTA FE DIALYSIS (FMC)",322501,-,"641 HARKLE RD","SANTA FE",NM,87505,15,15.23%,71.41%,6,95.49%,1.06%,0,10,69.05%,62.92%,79.63%,64.40%,60.82%,64.00%,10,0.477,0,8,0.739,10,0,72,0.00%
"322504 ALBUQUERQUE KIDNEY CENTER (FMC)",322504,-,"11296 LOMAS BLVD NE",ALBUQUERQUE,NM,87112,15,14.56%,75.08%,7,97.41%,0.00%,0.272,10,51.56%,55.05%,78.83%,48.77%,56.18%,59.10%,1,1.244,0.724,3,1.101,10,2,49,0.50%
"322505 LAS CRUCES DIALYSIS (FMC)",322505,-,"3875 FOOTHILLS RD","LAS CRUCES",NM,88011,15,7.34%,69.97%,8,96.29%,0.46%,1.005,10,64.64%,60.16%,78.71%,64.08%,60.26%,70.61%,3,1.084,1.805,3,1.094,10,0,41,1.00%
"322506 ALBUQUERQUE DIALYSIS (DCI)",322506,-,"1500 INDIAN SCHOOL RD NE",ALBUQUERQUE,NM,87102,15,10.03%,77.63%,9,96.03%,0.53%,1.091,10,56.96%,53.40%,71.74%,51.58%,50.61%,59.13%,3,1.077,0.56,10,0.662,10,3,57,0.00%
"322507 SILVER CITY DIALYSIS (DCI)",322507,-,"1310 SUNSET LN","SILVER CITY",NM,88061,15,19.28%,59.41%,2,96.83%,0.74%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.856,0.493,10,0.43,10,9,75,0.00%
"322508 ALAMOGORDO DIALYSIS (FMC)",322508,-,"2578 MEDICAL DR",ALAMOGORDO,NM,88310,15,3.71%,68.10%,9,97.58%,0.51%,0.201,10,54.34%,64.92%,85.34%,37.70%,66.16%,68.49%,0,1.291,0.474,9,0.727,10,7,65,0.00%
"322509 RIO RANCHO DIALYSIS (FMC)",322509,-,"1760 GRANDE BLVD STE 100","RIO RANCHO",NM,87124,15,17.64%,72.45%,5,99.11%,0.00%,0.582,10,61.61%,58.02%,75.48%,60.48%,65.54%,60.03%,10,0.351,0.27,5,0.934,10,4,69,0.00%
"322510 GRANTS DIALYSIS (DCI)",322510,-,"1213 BONITA ST",GRANTS,NM,87020,15,4.08%,79.62%,10,97.59%,1.20%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.942,0.593,7,0.83,10,9,78,0.00%
"322511 CENTRAL NEW MEXICO KIDNEY CENTER (FMC)",322511,-,"2800 PALMILLA RD","LOS LUNAS",NM,87031,15,19.19%,74.76%,5,96.98%,0.58%,0.532,10,52.27%,55.20%,72.01%,44.30%,41.60%,52.11%,10,0.525,0.689,6,0.919,10,0,58,0.00%
"322513 ESPANOLA DIALYSIS (FMC)",322513,-,"1420 CALLE DE LA MERCED",ESPANOLA,NM,87532,15,16.17%,72.23%,5,97.10%,1.17%,0.384,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.782,0.338,9,0.723,10,0,70,0.00%
"322514 TAOS DIALYSIS (DCI)",322514,-,"1335 MAESTAS RD",TAOS,NM,87571,15,14.12%,77.88%,7,95.91%,3.87%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0,0,10,0.606,10,9,86,0.00%
"322516 DEMING DIALYSIS (FMC)",322516,-,"814 W ADOBE DR",DEMING,NM,88030,15,12.10%,64.00%,5,98.08%,0.00%,1.197,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.106,0,7,0.821,10,4,62,0.00%
"322517 PLAINS REGIONAL DIALYSIS CENTER (FMC)",322517,-,"2117 N THOMAS",CLOVIS,NM,88101,15,8.65%,73.31%,8,97.65%,0.00%,1.327,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.683,0.945,8,0.748,10,4,70,0.00%
"322518 LAS VEGAS NM DIALYSIS (FMC)",322518,-,"246 MILLS AVE","LAS VEGAS",NM,87701,15,22.67%,64.51%,3,99.40%,0.00%,0.597,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.924,0.628,9,0.699,10,4,69,0.00%
"322519 SOUTHEASTERN NM KIDNEY CENTER (FMC)",322519,-,"2801 N MAIN SUITE H",ROSWELL,NM,88201,15,8.26%,84.17%,9,96.50%,1.21%,0,10,68.71%,56.52%,72.34%,44.78%,52.15%,51.15%,10,0.59,1.202,6,0.901,10,3,63,0.00%
"322520 RIO RANCHO DIALYSIS (DCI)",322520,-,"4045 JACKIE RD SE","RIO RANCHO",NM,87124,15,5.96%,82.13%,10,98.38%,0.46%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.645,0.398,10,0.524,10,6,90,0.00%
"322521 HOBBS DIALYSIS (FMC)",322521,-,"2827 N DAL PASO STE 105",HOBBS,NM,88240,15,12.57%,63.54%,5,98.73%,0.23%,0.628,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.851,0.707,9,0.705,10,4,71,0.00%
"322522 CARLSBAD DIALYSIS (DCI)",322522,320063,"2319 OSBORNE RD",CARLSBAD,NM,88220,15,5.13%,68.91%,9,96.53%,1.44%,3.062,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.294,0.511,4,1.04,10,7,51,0.50%
"322523 NORTH ALBUQUERQUE DIALYSIS CENTER (FMC)",322523,-,"5200 SAN MATEO BLVD NE",Albuquerque,NM,87109,15,14.60%,72.99%,7,96.35%,0.25%,0.505,10,72.57%,64.54%,83.27%,53.53%,74.63%,73.25%,8,0.702,0.097,6,0.881,10,1,68,0.00%
"322524 ACL DIALYSIS (DCI)",322524,-,"I-40 EXIT 102","SAN FIDEL",NM,87049,15,3.73%,83.78%,10,98.90%,0.40%,0,10,36.28%,53.55%,76.82%,24.18%,60.00%,63.72%,8,0.703,0.307,9,0.734,10,8,80,0.00%
"322526 RATON DIALYSIS (DCI)",322526,-,"900 S SIXTH ST",RATON,NM,87740,15,15.91%,73.81%,6,98.95%,3.96%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",10,0.511,10,10,88,0.00%
"322528 LAS CRUCES SOUTH DIALYSIS (FMC)",322528,-,"2525 S TELSHOR BLVD STE B","LAS CRUCES",NM,88011,15,5.70%,74.53%,9,96.33%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.543,0.735,4,1.018,10,0,73,0.00%
"322529 CARLSBAD DIALYSIS (FMC)",322529,-,"902 A WEST PIERCE",CARLSBAD,NM,88220,15,8.55%,58.62%,5,99.16%,0.00%,0.737,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.59,1.031,10,0.349,10,8,80,0.00%
"322530 ALBUQUERQUE EAST (DCI)",322530,-,"905 LOUISIANA BLVD NE",ALBUQUERQUE,NM,87110,15,5.76%,82.56%,10,96.99%,0.24%,0.512,10,64.66%,61.54%,72.38%,51.25%,61.04%,69.91%,3,1.103,0.794,7,0.822,10,2,59,0.00%
"322531 GIBSON DIALYSIS CENTER (FMC)",322531,-,"5400 GIBSON BLVD SE - SSUITE 100",ALBUQUERQUE,NM,87108,15,22.83%,63.00%,3,91.55%,1.13%,0.907,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.107,0.608,2,1.122,10,0,38,1.00%
"322533 NORTH RIO RANCHO DIALYSIS (FMC)",322533,-,"7555 ENCHANTED HILLS BLVD STE 102","RIO RANCHO",NM,87144,15,13.55%,68.00%,6,96.96%,0.31%,0.194,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.626,0.821,7,0.808,10,6,76,0.00%
"322534 RED ROCKS DIALYSIS- GALLUP",322534,-,"725 HOSPITAL DR",GALLUP,NM,87301,15,13.32%,70.37%,6,96.55%,0.61%,0.314,10,56.63%,45.45%,77.10%,52.82%,39.79%,47.88%,6,0.888,0.277,10,0.52,10,0,63,0.00%
